teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
200,TOP,Gragas,True,5,5,4,13,SG2_79021380
200,JUNGLE,Graves,True,2,3,5,31,SG2_79021380
200,MIDDLE,Ahri,True,10,7,10,21,SG2_79021380
200,BOTTOM,Lucian,True,14,2,9,47,SG2_79021380
200,UTILITY,Nami,True,2,2,18,68,SG2_79021380
100,TOP,Sett,False,3,10,4,11,SG2_76950433
100,JUNGLE,Nidalee,False,2,9,4,16,SG2_76950433
100,MIDDLE,Viktor,False,3,9,4,12,SG2_76950433
100,BOTTOM,Ezreal,False,6,5,1,12,SG2_76950433
100,UTILITY,Nami,False,1,8,9,28,SG2_76950433
200,TOP,Jayce,True,10,4,8,8,SG2_76950433
200,JUNGLE,Elise,True,20,4,4,23,SG2_76950433
200,MIDDLE,Xerath,True,5,3,11,15,SG2_76950433
200,BOTTOM,Senna,True,5,3,6,6,SG2_76950433
200,UTILITY,Thresh,True,1,1,20,47,SG2_76950433
100,TOP,DrMundo,False,3,3,3,25,SG2_77970887
100,JUNGLE,Diana,False,2,6,12,51,SG2_77970887
100,MIDDLE,Zoe,False,14,8,4,34,SG2_77970887
100,BOTTOM,Caitlyn,False,12,8,5,22,SG2_77970887
100,UTILITY,Lux,False,1,10,16,93,SG2_77970887
200,TOP,Udyr,True,8,7,2,21,SG2_77970887
200,JUNGLE,Shaco,True,6,8,5,30,SG2_77970887
200,MIDDLE,Katarina,True,15,7,7,22,SG2_77970887
200,BOTTOM,Senna,True,2,5,14,24,SG2_77970887
200,UTILITY,Rakan,True,4,6,19,100,SG2_77970887
100,TOP,Renekton,True,2,1,1,3,SG2_78629242
100,JUNGLE,Kayn,True,1,2,0,5,SG2_78629242
100,MIDDLE,Viktor,True,2,0,0,4,SG2_78629242
100,BOTTOM,Caitlyn,True,4,0,1,2,SG2_78629242
100,UTILITY,Milio,True,0,0,5,8,SG2_78629242
200,TOP,Garen,False,2,1,0,3,SG2_78629242
200,JUNGLE,Amumu,False,0,2,2,4,SG2_78629242
200,MIDDLE,Akali,False,0,2,0,2,SG2_78629242
200,BOTTOM,Jinx,False,1,4,0,3,SG2_78629242
200,UTILITY,Lulu,False,0,0,1,6,SG2_78629242
100,TOP,Ornn,False,1,5,0,10,SG2_78985005
100,JUNGLE,Kindred,False,4,6,3,17,SG2_78985005
100,MIDDLE,Lulu,False,2,5,1,15,SG2_78985005
100,BOTTOM,MissFortune,False,5,4,2,14,SG2_78985005
100,UTILITY,Janna,False,1,8,3,44,SG2_78985005
200,TOP,Gwen,True,3,1,5,20,SG2_78985005
200,JUNGLE,Viego,True,15,3,2,26,SG2_78985005
200,MIDDLE,Yone,True,3,3,1,12,SG2_78985005
200,BOTTOM,Kaisa,True,6,2,5,24,SG2_78985005
200,UTILITY,Nautilus,True,1,4,11,51,SG2_78985005
100,TOP,Jayce,True,5,4,0,11,SG2_78789993
100,JUNGLE,Ivern,True,1,5,15,32,SG2_78789993
100,MIDDLE,Orianna,True,7,2,6,17,SG2_78789993
100,BOTTOM,Aphelios,True,11,4,3,11,SG2_78789993
100,UTILITY,Alistar,True,2,6,13,59,SG2_78789993
200,TOP,Aatrox,False,3,4,2,11,SG2_78789993
200,JUNGLE,Viego,False,12,8,1,20,SG2_78789993
200,MIDDLE,Viktor,False,1,3,4,13,SG2_78789993
200,BOTTOM,Vayne,False,4,4,2,11,SG2_78789993
200,UTILITY,Janna,False,1,7,10,60,SG2_78789993
100,BOTTOM,Caitlyn,True,8,8,15,0,SG2_79049148
100,JUNGLE,LeeSin,True,10,7,23,0,SG2_79049148
100,MIDDLE,Orianna,True,9,7,17,0,SG2_79049148
100,UTILITY,Velkoz,True,13,11,16,0,SG2_79049148
100,MIDDLE,TwistedFate,True,4,7,26,0,SG2_79049148
200,MIDDLE,AurelionSol,False,6,9,14,0,SG2_79049148
200,UTILITY,Milio,False,1,8,34,0,SG2_79049148
200,MIDDLE,Zoe,False,8,8,16,0,SG2_79049148
200,JUNGLE,Talon,False,7,8,17,0,SG2_79049148
200,JUNGLE,JarvanIV,False,18,11,16,0,SG2_79049148
100,BOTTOM,Draven,True,18,13,34,0,SG2_78864688
100,MIDDLE,Lissandra,True,22,16,45,0,SG2_78864688
100,JUNGLE,Nunu,True,8,17,54,0,SG2_78864688
100,UTILITY,Swain,True,11,11,58,0,SG2_78864688
100,UTILITY,Pyke,True,31,11,22,0,SG2_78864688
200,JUNGLE,Graves,False,28,13,14,0,SG2_78864688
200,MIDDLE,Hwei,False,14,16,42,0,SG2_78864688
200,TOP,Singed,False,11,24,32,0,SG2_78864688
200,JUNGLE,Rammus,False,5,17,45,0,SG2_78864688
