teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId,KDA,kill_participation
100,JUNGLE,Ivern,1,1,5,15,32,SG2_78789993,3.2,16
100,MIDDLE,Orianna,1,7,2,6,17,SG2_78789993,6.5,13
100,BOTTOM,Aphelios,1,11,4,3,11,SG2_78789993,3.5,14
100,UTILITY,Alistar,1,2,6,13,59,SG2_78789993,2.5,15
200,TOP,Aatrox,0,3,4,2,11,SG2_78789993,1.25,5
200,JUNGLE,Viego,0,12,8,1,20,SG2_78789993,1.625,13
200,MIDDLE,Viktor,0,1,3,4,13,SG2_78789993,1.6666666666666667,5
200,BOTTOM,Vayne,0,4,4,2,11,SG2_78789993,1.5,6
200,UTILITY,Janna,0,1,7,10,60,SG2_78789993,1.5714285714285714,11
100,BOTTOM,Caitlyn,1,8,8,15,0,SG2_79049148,2.875,23
100,JUNGLE,LeeSin,1,10,7,23,0,SG2_79049148,4.714285714285714,33
100,MIDDLE,Orianna,1,9,7,17,0,SG2_79049148,3.7142857142857144,26
100,UTILITY,Velkoz,1,13,11,16,0,SG2_79049148,2.6363636363636362,29
100,MIDDLE,TwistedFate,1,4,7,26,0,SG2_79049148,4.285714285714286,30
200,MIDDLE,AurelionSol,0,6,9,14,0,SG2_79049148,2.2222222222222223,20
200,UTILITY,Milio,0,1,8,34,0,SG2_79049148,4.375,35
200,MIDDLE,Zoe,0,8,8,16,0,SG2_79049148,3.0,24
200,JUNGLE,Talon,0,7,8,17,0,SG2_79049148,3.0,24
200,JUNGLE,JarvanIV,0,18,11,16,0,SG2_79049148,3.090909090909091,34
100,BOTTOM,Draven,1,18,13,34,0,SG2_78864688,4.0,52
100,MIDDLE,Lissandra,1,22,16,45,0,SG2_78864688,4.1875,67
100,JUNGLE,Nunu,1,8,17,54,0,SG2_78864688,3.6470588235294117,62
100,UTILITY,Swain,1,11,11,58,0,SG2_78864688,6.2727272727272725,69
100,UTILITY,Pyke,1,31,11,22,0,SG2_78864688,4.818181818181818,53
200,JUNGLE,Graves,0,28,13,14,0,SG2_78864688,3.230769230769231,42
200,MIDDLE,Hwei,0,14,16,42,0,SG2_78864688,3.5,56
200,TOP,Singed,0,11,24,32,0,SG2_78864688,1.7916666666666667,43
200,JUNGLE,Rammus,0,5,17,45,0,SG2_78864688,2.9411764705882355,50
200,UTILITY,Maokai,0,10,20,32,0,SG2_78864688,2.1,42
100,TOP,DrMundo,1,6,5,9,16,SG2_79446129,3.0,15
100,JUNGLE,Rengar,1,12,4,8,28,SG2_79446129,5.0,20
100,MIDDLE,Ahri,1,12,6,17,25,SG2_79446129,4.833333333333333,29
100,BOTTOM,Lucian,1,12,6,7,26,SG2_79446129,3.1666666666666665,19
100,UTILITY,Milio,1,2,5,22,64,SG2_79446129,4.8,24
200,TOP,Zed,0,8,12,2,12,SG2_79446129,0.8333333333333334,10
200,JUNGLE,Viego,0,7,9,6,33,SG2_79446129,1.4444444444444444,13
200,MIDDLE,Yasuo,0,8,4,1,23,SG2_79446129,2.25,9
200,BOTTOM,Jhin,0,0,9,9,16,SG2_79446129,1.0,9
200,UTILITY,Karma,0,3,10,11,76,SG2_79446129,1.4,14
100,TOP,Vladimir,0,3,6,3,10,SG2_78888943,1.0,6
100,JUNGLE,Briar,0,4,3,7,19,SG2_78888943,3.6666666666666665,11
100,MIDDLE,Yone,0,7,3,2,19,SG2_78888943,3.0,9
100,BOTTOM,Kaisa,0,3,6,1,16,SG2_78888943,0.6666666666666666,4
100,UTILITY,Zilean,0,0,5,5,54,SG2_78888943,1.0,5
200,TOP,Ambessa,1,4,6,5,10,SG2_78888943,1.5,9
200,JUNGLE,Nunu,1,3,4,10,34,SG2_78888943,3.25,13
200,MIDDLE,Ahri,1,7,2,0,24,SG2_78888943,3.5,7
200,BOTTOM,Jhin,1,4,2,12,22,SG2_78888943,8.0,16
200,UTILITY,Senna,1,5,3,15,80,SG2_78888943,6.666666666666667,20
100,TOP,Darius,0,11,9,5,30,SG2_79412261,1.7777777777777777,16
100,JUNGLE,LeeSin,0,12,6,8,57,SG2_79412261,3.3333333333333335,20
100,MIDDLE,Vex,0,5,5,17,58,SG2_79412261,4.4,22
100,BOTTOM,MissFortune,0,6,5,14,37,SG2_79412261,4.0,20
100,UTILITY,Thresh,0,2,8,19,143,SG2_79412261,2.625,21
200,TOP,Ambessa,1,4,11,4,18,SG2_79412261,0.7272727272727273,8
200,JUNGLE,Ivern,1,6,7,17,41,SG2_79412261,3.2857142857142856,23
200,MIDDLE,TwistedFate,1,3,8,16,46,SG2_79412261,2.375,19
200,BOTTOM,Twitch,1,19,6,5,29,SG2_79412261,4.0,24
200,UTILITY,Milio,1,1,4,25,116,SG2_79412261,6.5,26
100,MIDDLE,TwistedFate,0,7,15,28,0,SG2_78520173,2.3333333333333335,35
100,TOP,Chogath,0,13,11,18,0,SG2_78520173,2.8181818181818183,31
100,TOP,Aatrox,0,12,14,18,0,SG2_78520173,2.142857142857143,30
100,BOTTOM,Draven,0,15,11,19,0,SG2_78520173,3.090909090909091,34
100,UTILITY,Zilean,0,9,10,33,0,SG2_78520173,4.2,42
200,TOP,Warwick,1,9,14,24,0,SG2_78520173,2.357142857142857,33
200,MIDDLE,Zed,1,18,12,20,0,SG2_78520173,3.1666666666666665,38
200,TOP,Kayle,1,7,11,31,0,SG2_78520173,3.4545454545454546,38
200,MIDDLE,Hwei,1,13,11,33,0,SG2_78520173,4.181818181818182,46
200,MIDDLE,AurelionSol,1,14,8,22,0,SG2_78520173,4.5,36
100,TOP,Gwen,1,7,0,9,26,SG2_78455311,16.0,16
100,JUNGLE,Shaco,1,7,6,6,24,SG2_78455311,2.1666666666666665,13
100,MIDDLE,Lucian,1,6,2,8,28,SG2_78455311,7.0,14
100,BOTTOM,Kaisa,1,6,4,7,20,SG2_78455311,3.25,13
100,UTILITY,Milio,1,2,3,20,66,SG2_78455311,7.333333333333333,22
200,TOP,Jax,0,2,6,0,8,SG2_78455311,0.3333333333333333,2
200,JUNGLE,JarvanIV,0,2,6,11,20,SG2_78455311,2.1666666666666665,13
200,MIDDLE,Zoe,0,4,7,3,27,SG2_78455311,1.0,7
200,BOTTOM,Jhin,0,6,3,5,22,SG2_78455311,3.6666666666666665,11
200,UTILITY,Janna,0,1,6,9,76,SG2_78455311,1.6666666666666667,10
100,TOP,Aatrox,0,0,9,4,13,SG2_79202368,0.4444444444444444,4
100,JUNGLE,Graves,0,8,6,7,32,SG2_79202368,2.5,15
100,MIDDLE,AurelionSol,0,4,8,6,23,SG2_79202368,1.25,10
100,BOTTOM,Draven,0,11,8,6,23,SG2_79202368,2.125,17
100,UTILITY,Neeko,0,3,5,19,76,SG2_79202368,4.4,22
200,TOP,Yorick,1,7,4,3,12,SG2_79202368,2.5,10
200,JUNGLE,XinZhao,1,3,5,6,27,SG2_79202368,1.8,9
200,MIDDLE,Zed,1,11,7,5,21,SG2_79202368,2.2857142857142856,16
200,BOTTOM,Jinx,1,5,7,13,18,SG2_79202368,2.5714285714285716,18
200,UTILITY,Veigar,1,10,3,10,58,SG2_79202368,6.666666666666667,20
100,TOP,Akali,0,4,5,4,19,SG2_79332146,1.6,8
100,JUNGLE,Amumu,0,2,10,6,15,SG2_79332146,0.8,8
